ID,letter,phrase,type,meaning
169,A,¡aura¡,pop.,¡Ahora¡
170,A,adornar,mus.,"Unir espacios de tiempo al tocar un tema musical (lunf.) recompensar, sobornar (pop.) hacer cornudo al cónyuge."
171,A,amelonado/da,pop.,Enamorado.
172,A,armar cuento,delinc.,Efectuar un engaño (LCV).
173,A,¡avanti!,ital.,¡Adelante!
174,A,adorno,pop.,Soborno recompensa.
175,A,amendrar,lunf.,"Tardar (AD), demorar (JFP)."
176,A,armar despiporre,pop.,"Escandalizar, desordenar, perturbar con gritos o ruidos."
177,A,¿a santo de qué?,pop.,"¿Con qué motivo?; ¿Por qué causa?, ¿Con qué pretexto?"
178,A,aduar,pop.,Ranchería de indios.
179,A,amigazo/a,pop.,"Aumentativo de amigo muy amigo, amigo en grado sumo."
180,A,armar el despelote,lunf.,"Complicar las cosas, enredar una situación."
181,A,¿adunfi?,lunf.,¿Adónde? (LCV.); ¿vamos? (LCV.); ¿a dónde vamos?
182,A,adunti,lunf.,Vamos (JFP.).
183,A,amigo,medíc.,Pene.
184,A,armar la meresunda,pop.,Reñir.
185,A,a babuchas,pop.,A horcajadas.
186,A,afanado/da,lunf.,"Engañado (LCV.) perjudicado (LCV.); defraudado, estafado, robado, timado."
187,A,amigo de lo ajeno,pop.,"Ladrón, deshonesto."
188,A,armar lola,pop.,Poner discordia.
189,A,a balazo limpio,pop.,Agresión mútua entre dos o más personas con armas de fuego.
190,A,afanador/ora,lunf.,"Profesional del delito que en el ""escalafón"" lunfardo tiene su categoría determinada (LCV); estafador (AD.); ratero sin importancia (JFP.); aprovechador (REV.P.); el que juega con trampas (JFP.); defraudador; ladrón el que se afana (JAS)."
191,A,amigos,lunf.,Testículos.
192,A,armar quilombo,lunf.,Igual que Armar despiporre.
193,A,a bocha,pop.,En cantidad; con profusión; mucho.
194,A,afanamiento,lunf.,"Estafa (LCV); engaño (LCV.); aprovechamiento (JFP.); robo sin mayores consecuencias (JFP.); hurto, defraudación."
195,A,amigote/a,pop.,Despectivo de Amigo y aumentativo compañero habitual de francachelas y diversiones.
196,A,armar rosca,pop.,"Discutir, pelear, reñir."
197,A,a buen puerto vas por leña,pop.,Alusión a que se recurre a la persona menos indicada
198,A,afanancio/a,lunf.,"Persona que cobra en demasía ratero, ladrón; timador; defraudador; estafador."
199,A,amistoso,futb.,Encuentro fuera de certamen entre equipos de fútbol.
200,A,armar un burdel,lunf.,Igual que Armar quilombo.
201,A,a cada chancho le llega su san martin,pop.,"A cada uno le llega su turno, en el sentido de que el que la hace la paga."
202,A,afanar,lunf.,"Estafar (AD.); apropiarse clandestinamente o por fuerza de lo ajeno (JAS.); engañar (JAS.); aprovecharse de la bondad, confianza o ingenuidad de una persona (LCV.); robar, sustraer; hurtar; no dar el peso exacto al vender mercaderías tomar dichos ajenos y darlos como propios cobrar más de lo debido ganar por amplio margen en un deporte; aventajar a otro en una competencia deportiva."
203,A,amoferiar,lunf.,Vender a una mujer amoférico (LCV).
204,A,armar un lio,pop.,"Promover un enredo, embrollo o problema."
205,A,a cada muerte de obispo,pop.,Suceso que ocurre muy espaciadamente.
206,A,afane,lunf.,Igual que Afano.
207,A,amoférico,lunf.,"Mujer prostituta, vieja y fea, que viste pobremente y ejerce su ""modus vivendi"" en la vía pública (LCV)."
208,A,armarse,pop.,"Hacer dinero, enriquecerse, prosperar, progresar, hacerse de algo producirse una discusión o riña arreglarse (JFP)."
209,A,a capella,ital. A cappella,Canto sin música.
210,A,afano,lunf.,"Estafa, hurto, robo, defraudación producto de un robo o de lo mal habido ganancia por alto margen en una competencia deportiva."
211,A,amolador/ora,pop.,"Cansador, cargoso, fastidioso, molesto."
212,A,armarse la de san quintin,pop.,"Producirse un gran desorden, pendencia o riña, entre dos o más personas."
213,A,a cara de perro,pop.,No ceder con facilidad en una discusión.
214,A,afeitado y sin visita,pop.,"Alusión a la concurrencia de una persona que se esperaba y no llegó, y para lo cual se habían hecho preparativos."
215,A,amolar,pop.,"Fastidiar, molestar con pertinacia, cansar, incomodar, cargosear, fastidiar (TG), perjudicar (TG)."
216,A,armarse la gorda,pop.,"Producirse una discusión ruidosa, pendencia trastorno político o social."
217,A,a contramano,pop.,Invertido sexual masculino pasivo.
218,A,afeitar,pop.,Pasar muy cerca; rozar.
219,A,amorio,pop.,Enamoramiento (JAS).
220,A,armarse la podrida,pop.,"Producirse un alboroto, desorden, lío, discusión violenta, o altercado."
221,A,a dedo,pop.,"Sin selección, sin mérito."
222,A,afeitar en seco,pop.,Actuar sin miramientos con alguien triunfar fácilmente o sin dificultades sobre otro.
223,A,amueblada,pop.,Hotel o casa de citas para parejas.
224,A,armarse la rosca,pop.,Producirse una pelea o discusión confusión o embotellamiento de vehículos.
225,A,a dios rogando y con el mazo dando,pop.,Poner de nuestra parte todo lo que podamos sin pedir milagros a Dios.
226,A,affaire,fr.,Asunto; negocio relación amorosa.
227,A,amufado/da,lunf.,Igual que Mufado/da.
228,A,armarse un entrevero,pop.,Producirse una disputa o pelea.
229,A,a empellones,pop.,Con violencia.
230,A,afiambrado,lunf.,"Asesinado, muerto."
231,A,amufador/ra,lunf.,Igual que Mufador/ra.
232,A,armarse un tole tole,pop.,Igual que armarse la podrida.
233,A,a esta altura con los faroles,pop.,Expresión alusiva a que las cosas han llegado a un punto tal que ya han dejado de interesar.
234,A,afiambrar,lunf.,Asesinar; matar.
235,A,amufar,lunf.,Igual que Mufar.
236,A,aro,delínc. y lunf.,Anillo de una llave (AD) ano (LCV).
237,A,a esta altura del partido,pop.,Igual que A esta altura con los faroles.
238,A,afiatar,mus.,Afinar los instrumentos de un conjunto musical.
239,A,amufarse,lunf.,Igual que Mufarse.
240,A,aromas del cairo,pop.,Mal olor perfume de ínfima calidad.
241,A,a estas alturas,pop.,En esta ocasión u oportunidad en que las cosas han llegado a este punto.
242,A,afiche,lunf.,Oficial de Policía (pop.) (fr. Affiche) Cartel impreso para fijar en la pared o cerco. (TG.).
243,A,amuflado/da.,lunf.,Igual que Mufado/da.
