ID,NOMBRE,NOMBRE2,LOCALIDAD,DEPARTAMENTO,JURISDICCIÓN,CUE ANEXO,DOMICILIO
2394,ESCUELA PROVINCIA DE JUJUY,ESCUELA PROVINCIA DE JUJUY,CRUZ DEL EJE,CRUZ DEL EJE,CÓRDOBA,140251300,1 DE MAYO 463 CENTRO CRUZ  DEL EJE
2395,ESCUELA PROVINCIA DE MISIONES,ESCUELA PROVINCIA DE MISIONES,CORDOBA,CAPITAL,CÓRDOBA,140413600,LUIS ANGEL FIRPO 2254 ANA MARIA ZUMARAN B° ANA MARIA ZUMARAN
2396,ESCUELA PROVINCIA DE SAN JUAN,ESCUELA PROVINCIA DE SAN JUAN,SANTA RITA,RIO PRIMERO,CÓRDOBA,140185700,CALLE PUBLICA S/N    COLONIA SANTA RITA
2397,ESCUELA PROVINCIA DE SANTA CRUZ,ESCUELA PROVINCIA DE SANTA CRUZ,RIO CUARTO,RIO CUARTO,CÓRDOBA,140177700,SANTA FE  BANDA NORTE RIO CUARTO
2398,ESCUELA PROVINCIA DEL NEUQUEN,ESCUELA PROVINCIA DEL NEUQUEN,BELL VILLE,UNION,CÓRDOBA,140089300,ORTIZ HERRERA 647 ESTACION BELL VILLE
2399,ESCUELA PROVINCIA LA RIOJA,ESCUELA PROVINCIA LA RIOJA,CORDOBA,CAPITAL,CÓRDOBA,140291700,JUNIN 3480 SAN VICENTE B° SAN VICENTE (CLUB UNION SAN VICENTE) - BAJADA FERREYRA )
2400,ESCUELA PROVINCIA SANTIAGO DEL ESTERO,ESCUELA PROVINCIA SANTIAGO DEL ESTERO,CORDOBA,CAPITAL,CÓRDOBA,140158500,FRANCISCO PABLO DE MAURO 558 VILLA EL LIBERTADOR B° VILLA EL LIBERTADOR
2401,ESCUELA PROVINCIA SANTIAGO DEL ESTERO,ESCUELA PROVINCIA SANTIAGO DEL ESTERO,ISLA VERDE,MARCOS JUAREZ,CÓRDOBA,140404500,SARMIENTO 600 CENTRO ISLA VERDE
2409,ESCUELA RABINDRANATH TAGORE,ESCUELA RABINDRANATH TAGORE,CORDOBA,CAPITAL,CÓRDOBA,140229500,OCARINA 1613 VILLA CLAUDINA B° VILLA CLAUDINA
2410,ESCUELA RAFAEL NUÑEZ,ESCUELA RAFAEL NUÑEZ,EL TROPIEZO,CRUZ DEL EJE,CÓRDOBA,140197000,CALLE PUBLICA   EL TROPIEZO P/RUTA PROV.N°75
